Year,GDP growth (annual %)
1961-01-01,2.482656077
1962-01-01,1.29461125
1963-01-01,6.216107341
1964-01-01,6.980061136
1965-01-01,5.980437905
1966-01-01,2.379039521
1967-01-01,6.304945208
1968-01-01,5.094033799
1969-01-01,7.045584074
1970-01-01,7.175916196
1971-01-01,4.000932527
1972-01-01,3.910284478
1973-01-01,2.619375963
1974-01-01,4.106973052
1975-01-01,1.336310041
1976-01-01,2.588770758
1977-01-01,3.594832938
1978-01-01,0.893149715
1979-01-01,4.050026573
1980-01-01,3.035588798
1981-01-01,3.339494783
1982-01-01,3.324852287
1983-01-01,-2.224541877
1984-01-01,4.591738564
1985-01-01,5.278243879
1986-01-01,3.966274337
1987-01-01,2.559257638
1988-01-01,5.757341066
1989-01-01,3.875425521
1990-01-01,3.576485761
1991-01-01,-0.383071893
1992-01-01,0.428619567
1993-01-01,4.047425268
1994-01-01,3.980923347
1995-01-01,3.887106294
1996-01-01,3.856841227
1997-01-01,3.912835473
1998-01-01,4.613356892
1999-01-01,4.956324506
2000-01-01,3.901171371
2001-01-01,2.041417338
2002-01-01,3.993589865
2003-01-01,3.111398208
2004-01-01,4.216633273
2005-01-01,3.15375271
2006-01-01,2.740635704
2007-01-01,3.777916783
2008-01-01,3.568270032
2009-01-01,1.870486961
2010-01-01,2.20656631
2011-01-01,2.391385132
2012-01-01,3.902007806
2013-01-01,2.578754288
2014-01-01,2.579017112
2015-01-01,2.152735906
2016-01-01,2.730547992
2017-01-01,2.282183642
2018-01-01,2.883045123
2019-01-01,2.171396224
2020-01-01,-0.050885336
2021-01-01,2.236212439
2022-01-01,3.617588572
2023-01-01,4.432618731740023
2024-01-01,2.752833249014559
2025-01-01,2.0635027360793368
2026-01-01,3.3058273119809227
2027-01-01,4.255689230790095
2028-01-01,3.6810517612889044
2029-01-01,2.8591049127333568
2030-01-01,3.18172554764909
2031-01-01,3.359511760183571
2032-01-01,3.9515903764204214
2033-01-01,4.550026945484801
2034-01-01,2.644581934602443
2035-01-01,2.6184161184866097
2036-01-01,2.843394434110661
2037-01-01,3.722648557635204
2038-01-01,2.9355015235481563
2039-01-01,2.330597882261026
2040-01-01,2.8094281801227394
2041-01-01,3.6113600021008807
2042-01-01,3.500075894988036
2043-01-01,2.29614709020605
2044-01-01,2.749577345499668
2045-01-01,2.529624043174759
2046-01-01,2.541324459768859
2047-01-01,3.1352067802974424
2048-01-01,2.9395325224285793
2049-01-01,2.6576897157757617
2050-01-01,2.3674663007114214
