Year,GDP (current US$),GDP growth ($US)
1960-01-01,18606562979.0,
1961-01-01,19682883152.0,
1962-01-01,19922563190.0,
1963-01-01,21539843449.0,
1964-01-01,23801123811.0,
1965-01-01,25976164159.0,
1966-01-01,27307844373.0,
1967-01-01,30442724874.0,
1968-01-01,32714085238.0,
1969-01-01,36683365874.0,
1970-01-01,41333606618.0,
1971-01-01,45216647240.0,
1972-01-01,52042056075.0,
1973-01-01,63832158873.0,
1974-01-01,88963890936.0,
1975-01-01,97304383449.0,
1976-01-01,105061000000.0,
1977-01-01,110351000000.0,
1978-01-01,118492000000.0,
1979-01-01,134898000000.0,
1980-01-01,149984000000.0,
1981-01-01,176892000000.0,
1982-01-01,194037000000.0,
1983-01-01,177263000000.0,
1984-01-01,193517000000.0,
1985-01-01,180635000000.0,
1986-01-01,182472000000.0,
1987-01-01,189488000000.0,
1988-01-01,236153000000.0,
1989-01-01,299876000000.0,
1990-01-01,311431000000.0,
1991-01-01,325982000000.0,
1992-01-01,325532000000.0,
1993-01-01,312138000000.0,
1994-01-01,322809000000.0,
1995-01-01,368141000000.0,
1996-01-01,401311000000.0,
1997-01-01,435614000000.0,
1998-01-01,399661000000.0,
1999-01-01,389390000000.0,
2000-01-01,415845000000.0,
2001-01-01,379358000000.0,
2002-01-01,395573000000.0,
2003-01-01,467498000000.0,
2004-01-01,614326000000.0,
2005-01-01,695305000000.0,
2006-01-01,747907000000.0,
2007-01-01,854427000000.0,
2008-01-01,1055690000000.0,
2009-01-01,928630000000.0,
2010-01-01,1148570000000.0,
2011-01-01,1398460000000.0,
2012-01-01,1546950000000.0,
2013-01-01,1576330000000.0,
2014-01-01,1467590000000.0,
2015-01-01,1350580000000.0,
2016-01-01,1206560000000.0,
2017-01-01,1326470000000.0,
2018-01-01,1428270000000.0,
2019-01-01,1392220000000.0,
2020-01-01,1326940000000.0,
2021-01-01,1552700000000.0,
2022-01-01,1675420000000.0,
2023-01-01,,1718175331907.4985
2024-01-01,,1858804439831.2715
2025-01-01,,1965606025844.7551
2026-01-01,,2191209880933.998
2027-01-01,,2386347496046.544
2028-01-01,,2547832781613.906
2029-01-01,,2508880807983.1064
2030-01-01,,2403741275960.701
2031-01-01,,2323238251097.0576
2032-01-01,,2358811061705.5703
2033-01-01,,2324078753495.6567
2034-01-01,,2426216661763.454
2035-01-01,,2435535887213.6294
2036-01-01,,2423919331858.2407
2037-01-01,,2460348643622.9546
2038-01-01,,2489983188944.7153
2039-01-01,,2615257353662.584
2040-01-01,,2808525510571.3027
2041-01-01,,2982980441177.034
2042-01-01,,3102366613164.3354
2043-01-01,,3278202278776.913
2044-01-01,,3375660983512.7876
2045-01-01,,3416321201041.2075
2046-01-01,,3312779167664.3633
2047-01-01,,3296510583953.499
2048-01-01,,3326696009238.9575
2049-01-01,,3334600117592.114
2050-01-01,,3447195205798.391
